Date,Ticker,Open,High,Low,Close,Close
2025-12-03,AAPL,286.20001220703125,288.6099853515625,283.5400085449219,284.1499938964844,284.1499938964844
2025-12-03,AMZN,233.35000610351562,233.3800048828125,230.63999938964844,232.3800048828125,232.3800048828125
2025-12-03,AVGO,380.2749938964844,382.2900085449219,370.6499938964844,380.6099853515625,380.6099853515625
2025-12-03,BRK-B,507.5199890136719,509.59991455078125,503.6000061035156,503.6000061035156,503.6000061035156
2025-12-03,GLD,388.4599914550781,390.1293029785156,385.8299865722656,386.8800048828125,386.8800048828125
2025-12-03,META,644.4099731445312,648.8499145507812,638.5999755859375,639.5999755859375,639.5999755859375
2025-12-03,MSFT,476.2900085449219,484.239990234375,475.20001220703125,477.7300109863281,477.7300109863281
2025-12-03,NVDA,181.06500244140625,182.4199981689453,179.110107421875,179.58999633789062,179.58999633789062
2025-12-03,PLTR,170.13999938964844,176.33999633789062,168.8300018310547,176.0800018310547,176.0800018310547
2025-12-03,QQQ,619.5999755859375,624.219970703125,618.0399780273438,623.52001953125,623.52001953125
2025-12-03,SPY,680.5700073242188,684.9099731445312,679.6900024414062,683.8900146484375,683.8900146484375
2025-12-03,TSLA,431.8450012207031,447.9142150878906,431.1174011230469,446.739990234375,446.739990234375
